이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
르봉케이크부티크,제과점업,부곡3동,부산광역시 금정구 부곡동 65-102,부산광역시 금정구 수림로20번길 13,129.0901855,35.24026898
이가네떡볶이,김밥 및 기타 간이 음식점업,장전1동,부산광역시 금정구 장전동 158-2,부산광역시 금정구 수림로 57,129.0861867,35.23981534
커피볶는시골커피동래 중앙점,간이 음식 포장 판매 전문점,온천2동,부산광역시 동래구 온천동 750-94,부산광역시 동래구 중앙대로1367번길 40,129.0757719,35.20999519
햇쌀빵집,제과점업,장전2동,부산광역시 금정구 장전동 581,부산광역시 금정구 식물원로75번길 33,129.0809574,35.22516261
김미김밥,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 418-11,부산광역시 금정구 금강로 274,129.0855268,35.23249138
빵집오빠구서점,빵류; 과자류 및 당류 소매업,구서1동,부산광역시 금정구 구서동 409-20,부산광역시 금정구 구서로 32,129.0876759,35.24691771
크리스피크림롯데 동래점,제과점업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
카페씨엘,간이 음식 포장 판매 전문점,장전2동,부산광역시 금정구 장전동 337-3,부산광역시 금정구 장전로 29,129.0855966,35.22835391
푸드카페김밥천국 동래점,한식 일반 음식점업,명륜동,부산광역시 동래구 명륜동 533-158,부산광역시 동래구 온천천로 157,129.0789962,35.20554222
떡보의하루 금정점,빵류; 과자류 및 당류 소매업,구서1동,부산광역시 금정구 구서동 414-1,부산광역시 금정구 구서로 17,129.0890305,35.24662399
명품달인김밥미남점,한식 일반 음식점업,온천2동,부산광역시 동래구 온천동 1853,부산광역시 동래구 충렬대로107번길 65,129.067458,35.21208399
스무스,제과점업,명륜동,부산광역시 동래구 명륜동 533-199,부산광역시 동래구 충렬대로 173,129.0791579,35.20413364
계성상회,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 299-46,부산광역시 금정구 금정로52번길 23,129.0875917,35.22906746
이내무목,제과점업,구서2동,부산광역시 금정구 구서동 246-26,부산광역시 금정구 중앙대로1873번길 17,129.090247,35.25164938
이글루빙수카페,한식 일반 음식점업,장전2동,부산광역시 금정구 장전동 302-10,부산광역시 금정구 장전로20번길 28,129.0875545,35.22932943
모모팥빙수,한식 일반 음식점업,장전2동,부산광역시 금정구 장전동 619-11,부산광역시 금정구 식물원로 42,129.0838462,35.22518499
배스킨라빈스 부산미남,제과점업,온천3동,부산광역시 동래구 온천동 1249-10,부산광역시 동래구 아시아드대로 221,129.0666128,35.20386187
요아잇부산미남점,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1451-39,부산광역시 동래구 미남로102번길 65,129.0729544,35.2041229
파리바게뜨 온천점,제과점업,온천1동,부산광역시 동래구 온천동 212-10,부산광역시 동래구 금강공원로 22,129.0822151,35.21894107
본가정항우케익온천장역 2호점,제과점업,온천1동,부산광역시 동래구 온천동 1750-1,부산광역시 동래구 중앙대로 1520,129.0864001,35.22027478
돼지떡볶이,한식 일반 음식점업,장전2동,부산광역시 금정구 장전동 596-5,부산광역시 금정구 금강로 175,129.0816906,35.22420379
윤이빵,제과점업,명륜동,부산광역시 동래구 명륜동 603,부산광역시 동래구 동래로 96-1,129.0828527,35.20736833
마시꼬마김밥,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 1074,부산광역시 금정구 금샘로246번길 18,129.0854019,35.24391106
부산구서파리바게뜨-배송비,제과점업,구서2동,부산광역시 금정구 구서동 656-10,부산광역시 금정구 금강로565번길 15,129.0867402,35.25798189
파리바게뜨 부산대점,제과점업,장전2동,부산광역시 금정구 장전동 419-60,부산광역시 금정구 부산대학로 58,129.0850441,35.23165262
의리빙수,한식 일반 음식점업,장전1동,부산광역시 금정구 장전동 271-19,부산광역시 금정구 금강로279번길 60,129.0837313,35.23443275
영김밥,한식 일반 음식점업,온천1동,부산광역시 동래구 온천동 172-23,부산광역시 동래구 금강공원로 7,129.0835364,35.21822444
행복한느림보 이흥용과자점,제과점업,구서2동,부산광역시 금정구 구서동 140-1,부산광역시 금정구 금단로 80,129.0945257,35.25654968
북문분식,한식 일반 음식점업,장전1동,부산광역시 금정구 장전동 271-14,부산광역시 금정구 금강로279번길 62,129.0838436,35.23452994
원더풀명품찹쌀꽈배기,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 175-23,부산광역시 금정구 중앙대로1945번길 5,129.0907915,35.25787588
당신은빙수가땡긴다 부산대점,한식 일반 음식점업,부곡2동,부산광역시 금정구 부곡동 293-24,부산광역시 금정구 동부곡로9번길 57,129.0931609,35.22825032
설빙구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 86-55,부산광역시 금정구 구서로 2,129.0907819,35.24681
컵넛부산대 정문점,제과점업,장전1동,부산광역시 금정구 장전동 387-15,부산광역시 금정구 금강로279번길 20,129.0846078,35.23348947
오뚜기분식,,장전1동,부산광역시 금정구 장전동 225-4,,129.083395,35.236867
따봉분식,,장전2동,부산광역시 금정구 장전동 400-40,,129.084374,35.231273
타코파파,,장전2동,부산광역시 금정구 장전동 421-23,,129.0863331,35.23112486
장전 분식센터,,장전2동,부산광역시 금정구 장전동 653-37,,129.084404,35.222618
서빙고,,장전2동,부산광역시 금정구 장전동 293-90,,129.087524,35.22823
전남친순대,,온천1동,부산광역시 동래구 온천동 40-38,,129.082558,35.223733
김유일쌀빵제빵소,제과점업,장전2동,부산광역시 금정구 장전동 652-77,,129.084991,35.222331
타코야끼코코네,,장전2동,부산광역시 금정구 장전동 293-4,부산광역시 금정구 금정로68번길 36,129.0884035,35.23031505
그라미 부산대점,,장전2동,부산광역시 금정구 장전동 378-7,부산광역시 금정구 금정로68번길 16,129.0873003,35.23055037
