상가업소번호,이름,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202504A0043648,얌샘김밥 안락점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26260,동래구,26260750,안락2동,2626010200,안락동,2.63E+18,1,대지,448,2,부산광역시 동래구 안락동 448-2,2.63E+11,부산광역시 동래구 안락로,74,,2.63E+24,,부산광역시 동래구 안락로 74,607830,47790,,1,,129.1049865,35.19924454
MA0101202504A0054202,떡방앗간 해운대,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26350,해운대구,26350551,좌1동,2635010700,좌동,2.64E+18,1,대지,1307,,부산광역시 해운대구 좌동 1307,2.64E+11,부산광역시 해운대구 좌동순환로,252,,2.64E+24,대원,부산광역시 해운대구 좌동순환로 252,612786,48107,,1,,129.1800104,35.172856
MA0101202504A0052810,원더풀꽈배기 금사점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26410,금정구,26410555,금사회동동,2641011100,금사동,2.64E+18,1,대지,67,1,부산광역시 금정구 금사동 67-1,2.64E+11,부산광역시 금정구 금사로,76,,2.64E+24,,부산광역시 금정구 금사로 76,609809,46330,,1,,129.1113841,35.21948098
MA0101202504A0077547,웰빙김밥,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26230,부산진구,26230510,부전1동,2623010300,부전동,2.62E+18,1,대지,351,12,부산광역시 부산진구 부전동 351-12,2.62E+11,부산광역시 부산진구 부전로152번길,33,,2.62E+24,,부산광역시 부산진구 부전로152번길 33,614844,47253,,1,,129.0582788,35.16074824
MA0101202504A0094137,삼송빵집 부산연산점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2.65E+18,1,대지,582,1,부산광역시 연제구 연산동 582-1,2.65E+11,부산광역시 연제구 반송로,89,,2.65E+24,,부산광역시 연제구 반송로 89,611821,47518,,1,,129.0882995,35.19154037
MA0101202504A0115571,윤이네,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26320,북구,26320550,덕천1동,2632010400,덕천동,2.63E+18,1,대지,410,12,부산광역시 북구 덕천동 410-12,2.63E+11,부산광역시 북구 만덕대로78번길,21,,2.63E+24,,부산광역시 북구 만덕대로78번길 21,616821,46567,,1,,129.0138729,35.21115816
MA0101202504A0097512,옹드,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26350,해운대구,26350540,중2동,2635010600,중동,2.64E+18,1,대지,1516,2,부산광역시 해운대구 중동 1516-2,2.64E+11,부산광역시 해운대구 좌동순환로,443,,2.64E+24,스카이맨션,부산광역시 해운대구 좌동순환로 443,612850,48117,,,,129.1722927,35.16121683
MA0101202504A0008999,김미김밥,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26410,금정구,26410610,장전2동,2641010800,장전동,2.64E+18,1,대지,418,11,부산광역시 금정구 장전동 418-11,2.64E+11,부산광역시 금정구 금강로,274,,2.64E+24,,부산광역시 금정구 금강로 274,609392,46289,,1,,129.0855268,35.23249138
MA0101202502A0007150,포엔러버,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26110,중구,26110510,중앙동,2611010500,중앙동2가,2.61E+18,1,대지,49,43,부산광역시 중구 중앙동2가 49-43,2.61E+11,부산광역시 중구 대청로,140,1,2.61E+24,,부산광역시 중구 대청로 140-1,600012,48956,,1,,129.0352379,35.10271479
MA0101202502A0111382,한설기정떡,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2.63E+18,1,대지,2300,12,부산광역시 북구 화명동 2300-12,2.63E+11,부산광역시 북구 용당로9번길,21,,2.63E+24,,부산광역시 북구 용당로9번길 21,616852,46527,,1,,129.0093024,35.23064518
MA0101202502A0009280,배스킨라빈스 부산신평,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26380,사하구,26380572,신평2동,2638010400,신평동,2.64E+18,1,대지,408,13,부산광역시 사하구 신평동 408-13,2.64E+11,부산광역시 사하구 하신중앙로,184,,2.64E+24,,부산광역시 사하구 하신중앙로 184,604837,49419,,,,128.9623122,35.09525713
MA0101202502A0103698,파인리,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2.65E+18,1,대지,94,1,부산광역시 수영구 광안동 94-1,2.65E+11,부산광역시 수영구 무학로49번길,71,,2.65E+24,광안종합시장,부산광역시 수영구 무학로49번길 71,613801,48268,,,,129.1181788,35.16441934
MA0101202502A0107579,요거피플수영 광안점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2.65E+18,1,대지,717,18,부산광역시 수영구 광안동 717-18,2.65E+11,부산광역시 수영구 광서로11번길,36,,2.65E+24,영창라이프,부산광역시 수영구 광서로11번길 36,613807,48248,,1,,129.111643,35.16417303
MA0101202502A0082769,블랑제리 구르망 과자점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26170,동구,26170530,초량3동,2617010100,초량동,2.62E+18,1,대지,91,1,부산광역시 동구 초량동 91-1,2.62E+11,부산광역시 동구 고관로29번길,30,,2.62E+24,,부산광역시 동구 고관로29번길 30,601827,48794,,2,,129.041064,35.12263183
MA0101202502A0084414,온잇케이크,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26230,부산진구,26230610,전포2동,2623010200,전포동,2.62E+18,1,대지,192,8,부산광역시 부산진구 전포동 192-8,2.62E+11,부산광역시 부산진구 전포대로256번길,15,,2.62E+24,,부산광역시 부산진구 전포대로256번길 15,614865,47301,,1,,129.0664,35.15948348
MA0101202502A0044082,파리바게트 안락sk점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26260,동래구,26260750,안락2동,2626010200,안락동,2.63E+18,1,대지,471,6,부산광역시 동래구 안락동 471-6,2.63E+11,부산광역시 동래구 삼어로,2,,2.63E+24,,부산광역시 동래구 삼어로 2,607826,47771,,1,,129.1125387,35.19877954
MA0101202502A0097311,빵집오빠 구서점,G2,소매,G205,식료품 소매,G20507,아이스크림 할인점,G47216,빵류; 과자류 및 당류 소매업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2.64E+18,1,대지,409,20,부산광역시 금정구 구서동 409-20,2.64E+11,부산광역시 금정구 구서로,32,,2.64E+24,칸중,부산광역시 금정구 구서로 32,609800,46242,,1,,129.0876759,35.24691771
MA0101202502A0088378,우리동네돈까스,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,I56199,간이 음식 포장 판매 전문점,26,부산광역시,26320,북구,26320530,금곡동,2632010100,금곡동,2.63E+18,1,대지,1110,,부산광역시 북구 금곡동 1110,2.63E+11,부산광역시 북구 효열로,40,,2.63E+24,금곡주공6단지,부산광역시 북구 효열로 40,616766,46514,,,,129.0156983,35.24855299
MA0101202502A0057571,원더풀꽈배기 문현점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26290,남구,26290710,문현4동,2629010900,문현동,2.63E+18,1,대지,248,21,부산광역시 남구 문현동 248-21,2.63E+11,부산광역시 남구 수영로,38,,2.63E+24,명칭없음,부산광역시 남구 수영로 38,608828,48457,,1,,129.0718821,35.13637416
MA0101202502A0111824,흔한남자,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26110,중구,26110560,부평동,2611012400,부평동2가,2.61E+18,1,대지,72,3,부산광역시 중구 부평동2가 72-3,2.61E+11,부산광역시 중구 부평1길,47,1,2.61E+24,,부산광역시 중구 부평1길 47-1,600806,48977,,1,,129.0257604,35.10170206
MA0101202502A0052750,토스트랜드,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2.64E+18,1,대지,349,12,부산광역시 사하구 장림동 349-12,2.64E+11,부산광역시 사하구 장림시장5길,195,,2.64E+24,,부산광역시 사하구 장림시장5길 195,604845,49482,,1,,128.9701921,35.07960182
MA0101202502A0047086,소담분식,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2.64E+18,1,대지,3502,3,부산광역시 강서구 명지동 3502-3,2.64E+11,부산광역시 강서구 명지국제12로,3,5,2.64E+24,일부,부산광역시 강서구 명지국제12로 3-5,618200,46773,,1,,128.9213554,35.1054119
MA0101202502A0104516,아델라7 전포대로점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56221,커피 전문점,26,부산광역시,26230,부산진구,26230610,전포2동,2623010200,전포동,2.62E+18,1,대지,874,12,부산광역시 부산진구 전포동 874-12,2.62E+11,부산광역시 부산진구 전포대로275번길,65,,2.62E+24,,부산광역시 부산진구 전포대로275번길 65,614870,47241,,2,,129.0638563,35.16304139
MA0101202505A0004746,맘트밀 해운대점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26350,해운대구,26350540,중2동,2635010600,중동,2.64E+18,1,대지,1511,15,부산광역시 해운대구 중동 1511-15,2.64E+11,부산광역시 해운대구 좌동순환로433번길,22,,2.64E+24,일부호,부산광역시 해운대구 좌동순환로433번길 22,612850,48117,,1,,129.1759107,35.1610978
MA0106202201A1935714,본가정항우케익 수영역점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26500,수영구,26500780,광안3동,2650010400,광안동,2.65E+18,1,대지,1091,1,부산광역시 수영구 광안동 1091-1,2.65E+11,부산광역시 수영구 수영로,677,,2.65E+24,,부산광역시 수영구 수영로 677,613103,48243,,,,129.114826,35.16589275
MA0101202504A0034880,써브웨이 부산법원점,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,26,부산광역시,26470,연제구,26470610,거제1동,2647010100,거제동,2.65E+18,1,대지,1489,1,부산광역시 연제구 거제동 1489-1,2.65E+11,부산광역시 연제구 법원로32번길,18,,2.65E+24,,부산광역시 연제구 법원로32번길 18,611803,47511,,,,129.0749059,35.19106778
MA0101202505A0028502,설구당,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26440,강서구,26440545,명지2동,2644010400,명지동,2.64E+18,1,대지,3240,2,부산광역시 강서구 명지동 3240-2,2.64E+11,부산광역시 강서구 명지오션시티4로,87,,2.64E+24,일부호,부산광역시 강서구 명지오션시티4로 87,618814,46764,,1,,128.9039473,35.081165
MA0106202201A0153040,마리짱 경성대부경대역점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2.63E+18,1,대지,77,,부산광역시 남구 대연동 77,2.63E+11,부산광역시 남구 수영로,324,,2.63E+24,,부산광역시 남구 수영로 324,608805,48508,,,,129.1004458,35.1375584
MA0106202201A0046214,크리스피크림 롯데동래점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26260,동래구,26260560,온천2동,2626010800,온천동,2.63E+18,1,대지,502,3,부산광역시 동래구 온천동 502-3,2.63E+11,부산광역시 동래구 중앙대로,1393,,2.63E+24,,부산광역시 동래구 중앙대로 1393,607716,47727,,,,129.0774734,35.21170521
MA0101202504A0050181,진만두가,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,26,부산광역시,26350,해운대구,26350560,송정동,2635010800,송정동,2.64E+18,1,대지,250,4,부산광역시 해운대구 송정동 250-4,2.64E+11,부산광역시 해운대구 송정중앙로36번길,1,,2.64E+24,,부산광역시 해운대구 송정중앙로36번길 1,612040,48072,,,,129.2042692,35.18196877
MA0101202504A0095092,제이와이푸드,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2.64E+18,1,대지,241,19,부산광역시 사하구 장림동 241-19,2.64E+11,부산광역시 사하구 다대로,259,,2.64E+24,,부산광역시 사하구 다대로 259,604840,49509,,1,,128.9777561,35.07913621
MA0101202505A0077786,새벽여는김밥,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,26,부산광역시,26710,기장군,26710250,기장읍,2671025027,기장읍,2.67E+18,1,대지,114,6,부산광역시 기장군 기장읍 청강리 114-6,2.67E+11,부산광역시 기장군 기장읍 기장대로,486,,2.67E+24,,부산광역시 기장군 기장읍 기장대로 486,619906,46080,,,,129.2196353,35.23841375
MA0106202201A0489873,빙수가든,I2,음식,I210,기타 간이,I21008,아이스크림/빙수,I56111,한식 일반 음식점업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2.64E+18,1,대지,1085,4,부산광역시 해운대구 중동 1085-4,2.64E+11,부산광역시 해운대구 달맞이길62번길,12,1,2.64E+24,,부산광역시 해운대구 달맞이길62번길 12-1,612846,48097,,,,129.1707521,35.16022617
MA0101202505A0072992,헬키푸키 사하구청점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26380,사하구,26380561,하단1동,2638010300,하단동,2.64E+18,1,대지,1219,,부산광역시 사하구 하단동 1219,2.64E+11,부산광역시 사하구 낙동대로,413,,2.64E+24,하단롯데캐슬,부산광역시 사하구 낙동대로 413,604021,49410,,1,,128.973024,35.10341019
MA0101202504A0078874,오정은A김밥 시청점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2.65E+18,1,대지,2341,,부산광역시 연제구 연산동 2341,2.65E+11,부산광역시 연제구 월드컵대로,55,,2.65E+24,연제롯데캐슬앤데시앙,부산광역시 연제구 월드컵대로 55,611082,47602,,1,,129.0834156,35.18040516
MA0101202504A0085286,봄날떡볶이,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2.64E+18,1,대지,875,,부산광역시 사하구 장림동 875,2.64E+11,부산광역시 사하구 하신중앙로,2,,2.64E+24,동원로얄듀크,부산광역시 사하구 하신중앙로 2,604740,49481,,1,,128.9637899,35.07731755
MA0101202505A0090569,비사이드베이글,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26500,수영구,26500770,광안2동,2650010400,광안동,2.65E+18,1,대지,169,21,부산광역시 수영구 광안동 169-21,2.65E+11,부산광역시 수영구 수영로536번길,31,,2.65E+24,,부산광역시 수영구 수영로536번길 31,613804,48300,,1,,129.1136833,35.15311635
MA0106202201A2145912,킹스꼬마김밥 사직점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,26,부산광역시,26260,동래구,26260580,사직1동,2626010900,사직동,2.63E+18,1,대지,93,6,부산광역시 동래구 사직동 93-6,2.63E+11,부산광역시 동래구 사직북로,4,,2.63E+24,,부산광역시 동래구 사직북로 4,607817,47866,,,,129.0613593,35.1962646
MA0101202504A0085525,신전떡볶이 장림점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2.64E+18,1,대지,340,8,부산광역시 사하구 장림동 340-8,2.64E+11,부산광역시 사하구 장림번영로,96,,2.64E+24,장림역사하베스티움,부산광역시 사하구 장림번영로 96,604845,49465,,1,,128.9754424,35.08002105
