시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
유엔평화기념관,사립,부산광역시 남구 홍곡로320번길 106,,35.12475247,129.093215,051-901-1400,유엔평화기념관,,,10:00,18:00,10:00,18:00,"매주 월요일, 단 국가공휴일과 월요일이 겹칠 경우 당일은 개관하고 다음날 휴관",0,0,0,,,,051-901-1400,(사)국제평화기념사업회,2025-11-24
부경대학교박물관,대학,부산광역시 남구 용소로 45,,35.13116783,129.1048238,051-629-6771,부경대학교박물관,,,10:00,17:00,00:00,00:00,"토·일요일, 공휴일",0,0,0,,,,051-629-6771,부경대학교,2025-11-24
부산시립박물관,공립,부산광역시 남구 유엔평화로 63,,35.12959259,129.0929417,051-610-7150,부산시립박물관,,,09:00,18:00,09:00,21:00,"1월 1일, 매주 월요일, 단 월요일이 공휴일인 경우 다음날 휴관",0,0,0,,,,051-610-7150,부산광역시,2025-11-24
경성대학교미술관,대학,부산광역시 남구 수영로 309,,35.13843676,129.1000975,051-663-5361,경성대학교미술관,,,10:00,18:00,10:00,18:00,"매월 둘째, 넷째 일요일",0,0,0,,,,051-663-5361,경성대학교,2025-11-24
한국거래소자본시장역사박물관,사립,부산광역시 남구 문현금융로 40,,35.14649173,129.0658548,051-662-2424,한국거래소,,,09:30,17:30,00:00,00:00,"토·일요일, 공휴일",0,0,0,,,,051-662-2424,한국거래소,2025-11-24
증권박물관(부산관),사립,부산광역시 남구 전포대로 133,,35.14828237,129.0654725,051-519-0600,한국예탁결제원,,,10:00,17:00,00:00,00:00,"매주 일요일, 공휴일, 근로자의 날",0,0,0,,,,051-519-0600,한국예탁결제원,2025-11-24
