이름,주소,위도,경도,상세정보
괴정공원,부산광역시 사하구 괴정동 581-28,35.09886804,128.9814478,
괴정동 경로당 공원,부산광역시 사하구 괴정동 545-7,35.09640543,128.9879382,
괴정동 노인복지관 앞 공원,부산광역시 사하구 괴정동 578-17,35.09928642,128.9822328,
괴정동 사거리 앞 공원,부산광역시 사하구 괴정동 534-23,35.09660151,128.9890597,
괴정동 우체국 앞 공원,부산광역시 사하구 괴정동 537-43,35.09486022,128.9887209,
괴정동 주민센터 앞 어린이공원,부산광역시 사하구 괴정동 566-31,35.09730612,128.9826264,
괴정시장 소공원,부산광역시 사하구 괴정동 571-11,35.09895971,128.9839915,
괴정초등학교 앞 공원,부산광역시 사하구 괴정동 535-15,35.09589417,128.9890212,
교리근린공원,부산광역시 기장군 기장읍 교리 산 34-8,35.25526503,129.2143411,
갤러리 이비나인,부산광역시 동구 초량동 467,35.11636259,129.0391349,
구기공원,부산광역시 기장군 장안읍 반룡리 870,35.33366888,129.2627488,
구덕공원,부산광역시 사상구 학장동 168-5,35.1391941,128.9911134,
구덕문화공원,부산광역시 서구 서대신동3가 산18-15,35.12617,129.00514,
구덕야영장 계곡,부산광역시 서구 서대신동3가 750,35.12556,129.00969,
구랑공원,부산광역시 강서구 구랑동 1199-7,35.13117903,128.8529028,
구목정공원,부산광역시 기장군 정관읍 용수리 1354,35.32444477,129.1734904,
구삼공원,부산광역시 북구 구포동 1260-19,35.19586792,129.0067365,
구서공원,부산광역시 금정구 구서동 1050,35.251219,129.087464,
구월공원,부산광역시 금정구 부곡동 956,35.2234468,129.0981642,
구평 근린공원,부산광역시 사하구 구평동 500,35.08376696,128.9842358,
구평뜰공원,부산광역시 사하구 구평동 497,35.08673243,128.9852854,
구포문화공원,부산광역시 북구 구포동 779-4,35.20078252,129.0020948,
구포생태근린공원,부산광역시 북구 구포동 1250-18,35.19434626,129.0116428,
구포어린이교통공원,부산광역시 북구 구포동 976,35.200676,129.0009,
구학공원,부산광역시 사상구 학장동 168-9,35.13574464,128.9919603,
국립부산과학관,부산광역시 기장군 기장읍 석산리 293 ,35.20468,129.2127,
국립부산국악원,부산광역시 부산진구 연지동 219-2,35.17132,129.05424,
국립부산국악원 국악체험관,부산광역시 부산진구 연지동 219-2 ,35.171013,129.05438,
국립수산과학관,부산광역시 기장군 기장읍 시랑리 408-1 ,35.193687,129.22423,바다 속 체험은 국립수산과학관으로
국립일제강제동원역사관,부산광역시 남구 대연동 1156-18 ,35.124355,129.09192,
국립해양박물관,부산광역시 영도구 동삼동 1156,35.07856342,129.0802449,
국제커피박물관,부산광역시 동구 좌천동 1164-2 ,35.12724,129.04846,
굿거리언덕공원,부산광역시 기장군 기장읍 내리 800,35.19873169,129.207608,
그린꽃님공원,부산광역시 북구 화명동 513,35.23998415,129.022576,
그린달님공원,부산광역시 북구 화명동 306,35.2451383,129.0238495,
근린공원,부산광역시 강서구 대저2동 3146-2,35.165806,128.953667,
근린공원,부산광역시 기장군 정관읍 달산리 1036,35.31742069,129.1863713,
금강공원,부산광역시 금정구 장전동 산 46-2,35.2263915,129.0623779,
금강공원,부산광역시 동래구 온천동 20-1,35.21962513,129.075758,
금강공원&식물원,부산광역시 동래구 온천동 산133,35.22047,129.07494,
금곡근린공원,부산광역시 북구 금곡동 100-1,35.25942702,129.0161609,
금병공원,부산광역시 강서구 범방동 1875-4,35.149572,128.882679,
