시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
부산포민속박물관,사립,부산광역시 부산진구 중앙대로702번길 21,부산광역시 부산진구 부전동 168-176,35.15554992,129.0603702,051-803-4300,부산포민속박물관,http://blog.naver.com/busanpo4300,없음,10:00,17:00,10:00,17:00,휴관중,0,0,0,0,"사라져가는 민속자료를 한자리에 모아, 이를 보존, 전시, 조사, 연구하기 위하여 2006년 5월에 개관",지하철:1호선 서면역(2번출구)+2호선 서면역(6번출구),051-803-4300,김정민,2025-11-27
동의대학교 박물관,대학,부산광역시 부산진구 엄광로 176,부산광역시 부산진구 가야동 464-121,35.14432081,129.0363092,051-890-1741,동의대학교 박물관,https://www.deu.ac.kr/www/deu-museum.do,주차+남/녀 화장실 구분,10:00,16:00,10:00,16:00,토+일+국경일+개교기념일,0,0,0,0,역사와 전통의 흐름 속에서 빛나는 가야문화를 간직하고 있는 동의대학교 박물관,"마을버스:부산진6-1,부산진9+지하철:2호선 동의대 5번 출구(도보19분)",051-890-1741,동의학원,2025-11-27
부산여대차박물관,대학,부산광역시 부산진구 진남로 506,부산광역시 부산진구 양정동 423-47,35.16923652,129.0720552,051-850-3112,부산여대차박물관,https://www.bwc.ac.kr/sch/sub02/sub0203_08.asp,없음,10:00,17:00,10:00,17:00,토+일+국경일+개교기념일,0,0,0,0,"문화재의 보존과 관리 및 전시, 차에 관한 유물구입 및 수집등을 통해 우리문화에 대한 가치와 이해를 높여 교수 및 학생에게 예절 인성 양성에 기여함을 목표로 한다.","마을버스:부산진11,부산진12-1+지하철:1호선 양정역 2번출구(도보10분)",051-850-3112,혜화학원,2025-11-27
KT&G상상마당부산미술관,사립,부산광역시 부산진구 서면로 39,부산광역시 부산진구 부전동 521-1,35.154278,129.0573028,051-809-5555,KT&G상상마당부산미술관,https://www.sangsangmadang.com/main/BS,주차+남/녀 화장실 구분,11:00,20:00,11:00,20:00,1월1일+추석 당일+설 당일,15000,12000,12000,단체할인(20)+국가유공자/장애인/경로우대,2021년 개관,"버스:10,29,43,52,57,86+지하철: 1호선 서면역 1번출구(도보555m)",051-809-5555,주식회사케이티앤지,2025-11-27
