시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
재송역사박물관,공립,부산광역시 해운대구 재반로63번길 23,부산광역시 해운대구 재송동 274-2,35.1846356,129.1251954,051-749-5972,부산광역시 해운대구청,,,10:00,17:00,10:00,17:00,공휴일,0,0,0,,재송동 역사박물관,동해선 센텀역 3번 출구 하차,051-749-5972,부산광역시 해운대구청,2025-11-20
조각보박물관,사립,부산광역시 해운대구 좌동순환로 25-1,부산광역시 해운대구 좌동 1352-3,35.16869405,129.1661951,051-744-0026,조각보박물관,http://www.조각보박물관.kr/,,14:00,16:00,14:00,16:00,금 제외,0,0,0,금(사전예약),주천 김순향 조각보 박물관,부산 지하철 중동역 10번 출구 하차,051-744-0026,조각보박물관,2025-11-20
무비인더박스,사립,부산광역시 해운대구 해운대해변로209번길 8-3,부산광역시 해운대구 우동 653-2,35.15933365,129.1543081,051-747-2153,무비인더박스,,,10:00,18:00,10:00,18:00,월,5000,5000,3000,,국내 최초 SF영화모형 전시관,부산 지하철 2호선 동백역 하차,051-747-2153,무비인더박스,2025-11-20
부산시립미술관,공립,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,35.16668716,129.1370273,051-740-4421,부산광역시,art.busan.go.kr,카페,10:00,18:00,10:00,18:00,월,2000,1000,1000,,각 장르별 미술작품 전시,부산 지하철 2호선 벡스코역 하차,051-740-4421,부산광역시,2025-11-20
고은사진미술관,사립,부산광역시 해운대구 해운대로452번길 16,부산광역시 해운대구 우동 1005-17,35.1632784,129.1412107,051-746-0055,고은문화재단,http://www.goeunmuseum.kr/,,10:00,18:00,10:00,18:00,월+명절,0,0,0,,해운대 소재 최초의 사진전문미술관,수영 요트경기장 인근 버거킹 뒤,051-746-0055,고은문화재단,2025-11-20
뮤지엄원,사립,부산광역시 해운대구 센텀서로 20,부산광역시 해운대구 센텀서로 20,35.1713212,129.1289814,051-731-3302,뮤지엄원,https://museum1.co.kr,,10:00,19:00,10:00,20:00,연중무휴,18000,15000,13000,"장애인, 유공자, 단체 할인","대중을 위한 예술, 대중이 체험하고 즐길 수 있는 예술 등을 소개",부산 지하철 2호선 센텀시티역 하차,051-731-3302,뮤지엄다,2025-11-20
아세안문화박물관,사립,부산광역시 해운대구 좌동로 162,부산광역시 해운대구 좌동 1427,35.175147,129.182013,051-775-2000,아세안문화원,https://www.ach.or.kr/ach/main.do,카페,10:00,18:00,10:00,19:00,월,0,0,0,,아세안 공예품을 통해 각 국가별 역사와 문화 소개,부산 지하철 2호선 장산역 하차,051-775-2000,아세안문화원,2025-11-20
