시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
국립해양박물관,국립,부산광역시 영도구 해양로301번길 45,,35.07856342,129.0802449,051-309-1900,국립해양박물관,https://www.mmk.or.kr/,,09:00,18:00,09:00,19:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",0,0,0,,,,051-309-1900,해양수산부,2026-01-01
아르떼뮤지엄부산,사립,부산광역시 영도구 해양로247번길 29,,35.087098,129.0763538,1899-5008,아르떼뮤지엄부산,https://kr.artemuseum.com/,,10:00,21:00,10:00,21:00,연중무휴,22000,18000,15000,,,,1899-5008,㈜ 디스트릭트,2026-01-01
