시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
동아대학교석당박물관,대학,부산광역시 서구 구덕로 225,부산광역시 서구 부민동2가 1,35.103747,129.0194155,051-200-8493,동아대학교석당박물관,http://museum.donga.ac.kr,문화상품 판매+카페테리아+화장실(장애인용 포함)+엘리베이터+음성안내기+유모차 및 휠체어 대여,09:30,17:00,09:30,17:00,월요일+법정공휴일+개교기념일(11월 1일)(박물관 사정에 따라 변경될 수 있음),0,0,0,해당없음,"동아대학교석당박물관은 1959년 11월에 개관한 부산 최초의 박물관으로, 학교 설립자이자 박물관장을 역임한 석당 정재환(1904~1976) 박사의 문화유산에 대한 염원과 신념이 담겨있다. 석당박물관은 부산에서 가장 많은 국가지정문화재를 보유하고 있으며, 소장품의 수준과 가치 또한 매우 뛰어나다. 국보로 지정된 심지백 개국원종공신녹권과 동궐도를 비롯하여 보물, 국가민속문화재, 부산광역시지정 유형문화재 등 다양하고 진귀한 유물 30,000여 점을 소장하고 있다. 2009년부터 현재의 건물(부산 임시수도정부청사)로 이전 개관 후 역사적 기억을 담는 공간인 동시에 지역문화시설로 거듭나고 있다.",지하철 이용 시 1호선 토성동역에서 하차 2번출구 도보로 10분,051-200-8493,동아대학교석당박물관,2025-11-18
동아대학교석당미술관,대학,부산광역시 서구 구덕로 225,부산광역시 서구 부민동2가 1,35.103747,129.0194155,051-200-8749,동아대학교석당미술관,http://museumsd.donga.ac.kr,화장실(장애인용 포함)+엘리베이터+유모차 및 휠체어 대여,09:30,17:00,09:30,17:00,법정공휴일+개교기념일(11월 1일)(미술관 사정에 따라 변경될 수 있음),0,0,0,해당없음,"석당미술관은 동아대학교의 설립자이신 석당 정재환 박사님의 교육업적과 예술정신을 이어가고자 설립 운영되고 있다. 동아대학교 예술대학 교수, 지역 예술가들의 작품을 비롯해 부산화단의 훌륭한 족적을 남기신 청초 이석우, 옻칠예술의 선구자 김성수 작품 등 현재까지 300여 점을 소장하고 있으며, 소장품 보존과 연구를 위해 노력하고 있다. 매년 다양한 주제의 기획전시를 통해 확장된 의미의 현대미술을 소개하고 미술전공자들의 창작의욕 고취를 위해 yaa(young artist artista) 전시를 개최하여 부산 경남지역 대학생들의 창작발표 기회를 제공하고 있기도 하다.",지하철 이용 시 1호선 토성동역에서 하차 2번출구 도보로 10분,051-200-8749,동아대학교석당미술관,2025-11-18
