시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
부산대박물관,대학,부산광역시 금정구 부산대학로63번길 2,부산광역시 금정구 장전동 40,35.23224315,129.0838247,051-510-1838,부산대학교,https://pnumuseum.pusan.ac.kr/pnumuseum/index..do,,09:00,17:00,00:00,00:00,일+공휴일,0,0,0,,,부산대역 3번출구,051-519-4082,부산광역시 금정구청,2025-11-19
범어사성보박물관,사립,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,051-508-6139,범어사,http://www.beomeomuseum.org/,,09:30,17:00,00:00,23:59,월+명절연휴,0,0,0,,,범어사역 7번출구,051-519-4082,부산광역시 금정구청,2025-11-19
오륜대한국순교자박물관,사립,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,35.24570172,129.1009016,051-583-2923,오륜대한국순교자박물관,http://www.oryundaemuseum.com/,,10:00,17:00,00:00,23:59,월+명절연휴,2000,1000,1000,,,장전역 4번출구+마을버스,051-519-4082,부산광역시 금정구청,2025-11-19
디오티미술관,사립,부산광역시 금정구 금샘로35,부산광역시 금정구 장전동 503-44,35.228821,129.076708,051-518-8480,디오티미술관,https://dotmuseum.co.kr/,,11:00,18:00,00:00,00:00,일+월+명절연휴,0,0,0,,,"온천장역 3,5번 출구 + 도보 15분",051-519-4064,부산광역시 금정구청,2025-11-19
킴스필드아트미술관,사립,부산광역시 금정구 죽전1길 29,부산광역시 금정구 금성동 385-2,35.252403,129.0542017,051-517-6800,킴스필드아트미술관,https://blog.naver.com/kafmuseum,,10:00,17:00,00:00,00:00,토+일+명절연휴,0,0,0,,,죽전마을 버스정류장 하차,051-519-4064,부산광역시 금정구청,2025-11-19
