이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
오케이당구클럽,당구장 운영업,구서1동,부산광역시 금정구 구서동 414-15,부산광역시 금정구 구서로 13,129.08948,35.24658919
위트레이닝스튜디오,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 643-117,부산광역시 금정구 장전온천천로 51,129.0888241,35.22958687
쿵따리노래연습장,노래 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 274-39,부산광역시 금정구 부곡로 146,129.0923316,35.22888646
브이아이피당구장,당구장 운영업,온천1동,부산광역시 동래구 온천동 189-3,부산광역시 동래구 금강공원로 37-1,129.0804199,35.21873764
인리치짐,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 418,부산광역시 동래구 명륜로 105,129.0829266,35.20338397
레고핏,체력 단련시설 운영업,구서2동,부산광역시 금정구 구서동 184-1,부산광역시 금정구 중앙대로1929번길 11,129.0904986,35.25631296
다이나믹노래연습장,노래 연습장 운영업,구서1동,부산광역시 금정구 구서동 415-101,부산광역시 금정구 구서로 5,129.090225,35.24651324
빅베어짐,체력 단련시설 운영업,온천1동,부산광역시 동래구 온천동 184-7,부산광역시 동래구 온천장로 54,129.0810738,35.21639242
리즈핏PT,체력 단련시설 운영업,부곡3동,부산광역시 금정구 부곡동 223-18,부산광역시 금정구 수림로 17,129.090503,35.23937136
플레이샵,기타 오락장 운영업,부곡4동,부산광역시 금정구 부곡동 391-29,부산광역시 금정구 오시게로42번길 1,129.0875236,35.22126469
태림물산,체력 단련시설 운영업,구서1동,부산광역시 금정구 구서동 409-11,부산광역시 금정구 금강로 441,129.0886989,35.24697215
하이테니스랩,그 외 기타 스포츠시설 운영업,부곡3동,부산광역시 금정구 부곡동 225-58,부산광역시 금정구 중앙대로1719번길 47,129.089539,35.2373334
으뜸핏,체력 단련시설 운영업,온천3동,부산광역시 동래구 온천동 1442-11,부산광역시 동래구 미남로132번길 112,129.0754205,35.20525214
놀이터당구장,당구장 운영업,장전1동,부산광역시 금정구 장전동 155-2,부산광역시 금정구 금강로335번길 9,129.0859484,35.23780088
블랙바디GYM,체력 단련시설 운영업,장전1동,부산광역시 금정구 장전동 213-9,부산광역시 금정구 금정로149번길 8,129.0872853,35.23811125
오성피트니스,체력 단련시설 운영업,장전2동,부산광역시 금정구 장전동 420-1,부산광역시 금정구 부산대학로 49,129.0856681,35.23114623
테니스홀릭,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 170-3,부산광역시 동래구 금강공원로 11,129.0831658,35.21832995
바디퀄리티,체력 단련시설 운영업,부곡2동,부산광역시 금정구 부곡동 266-15,부산광역시 금정구 중앙대로 1632,129.0915902,35.22995362
프렌즈스크린골프 금정부곡점,골프 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 235-13,부산광역시 금정구 중앙대로1685번길 19,129.0906163,35.2348006
욜로PC방부산미남역점,컴퓨터 게임방 운영업,온천3동,부산광역시 동래구 온천동 1413-7,부산광역시 동래구 아시아드대로228번길 22,129.0681101,35.20359299
오엑스PC 온천장역점,컴퓨터 게임방 운영업,장전2동,부산광역시 금정구 장전동 607-37,부산광역시 금정구 식물원로 11,129.0867339,35.22387362
캡틴테니스아카데미,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 152-18,부산광역시 동래구 금강공원로20번길 46,129.0834997,35.22108172
탑스피드,전자 게임장 운영업,장전1동,부산광역시 금정구 장전동 154-15,부산광역시 금정구 금강로335번길 29,129.084783,35.23775789
테니스킹,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 423-17,부산광역시 금정구 금강로 246,129.0849874,35.22986932
큐브짐구서점,체력 단련시설 운영업,구서2동,부산광역시 금정구 구서동 203-5,부산광역시 금정구 구서중앙로15번길 20,129.0890516,35.25386882
짱탁구장,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 414-11,부산광역시 금정구 장전온천천로 63,129.0888397,35.23062293
가족오락관,기타 오락장 운영업,장전2동,부산광역시 금정구 장전동 643-117,부산광역시 금정구 장전온천천로 51,129.0888241,35.22958687
