이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
홍콩반점0410 부산대점,부산광역시 금정구 장전동 409-9,3,,,,,,,,,,,,,
홍콩반점0410 부산대점,부산광역시 금정구 장전동 409-9,4,,,,,,,,,,,,,
홍콩반점0410 부산대점,부산광역시 금정구 장전동 409-9,5,,,,,,,,,,,,,
홍콩반점0410 부산대점,부산광역시 금정구 장전동 409-9,6,,,,,,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,0,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,1,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,2,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,3,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,4,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,5,18:00,1:00,,,23:30,,,,,,,,
달순이,부산광역시 금정구 장전동 412-10,6,18:00,1:00,,,23:30,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,0,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,1,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,2,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,3,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,4,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,5,16:00,22:00,,,,,,,,,,,
칼맛나는 푸짐한횟집,부산광역시 금정구 장전동 412-10,6,16:00,22:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,0,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,1,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,2,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,3,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,4,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,5,9:00,21:00,,,,,,,,,,,
서울깍두기,부산광역시 금정구 장전동 412-11,6,9:00,21:00,,,,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,0,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,1,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,2,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,3,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,4,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,5,11:00,21:00,,,20:30,,,,,,,,
코하루,부산광역시 금정구 장전동 412-22,6,11:00,21:00,,,20:30,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,0,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,1,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,2,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,3,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,4,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,5,17:30,3:00,,,,,,,,,,,
심취,부산광역시 금정구 장전동 412-23,6,17:30,3:00,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,0,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,1,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,2,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,3,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,4,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,5,,,,,,,,,,,,,
굽네치킨장전점,부산광역시 금정구 장전동 412-40,6,,,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,0,15:00,1:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,1,15:00,1:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,2,15:00,1:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,3,15:00,1:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,4,15:00,1:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,5,15:00,2:00,,,,,,,,,,,
그린,부산광역시 금정구 장전동 412-40,6,15:00,2:00,,,,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,0,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,1,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,2,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,3,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,4,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,5,11:00,20:00,14:30,17:00,19:30,,,,,,,,
키무엔라멘,부산광역시 금정구 장전동 412-40,6,11:00,20:00,14:30,17:00,19:30,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,0,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,1,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,2,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,3,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,4,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,5,,,,,,,,,,,,,
줄스브리또&파스타,부산광역시 금정구 장전동 412-45,6,,,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,0,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,1,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,2,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,3,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,4,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,5,10:00,21:00,,,,,,,,,,,
보울스장전점,부산광역시 금정구 장전동 413-1,6,10:00,21:00,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,0,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,1,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,2,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,3,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,4,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,5,11:00,21:30,,,,,,,,,,,
스시마이우 부산대점,부산광역시 금정구 장전동 413-11,6,11:00,21:30,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,0,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,1,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,2,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,3,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,4,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,5,,,,,,,,,,,,,
족발신선생 부산대점,부산광역시 금정구 장전동 413-16,6,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,0,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,1,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,2,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,3,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,4,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,5,,,,,,,,,,,,,
노브랜드버거 부산대점,부산광역시 금정구 장전동 413-17,6,,,,,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,0,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,1,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,2,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,3,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,4,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,5,7:30,20:00,15:00,17:00,,,,,,,,,
남원추어탕,부산광역시 금정구 장전동 413-18,6,7:30,20:00,15:00,17:00,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,0,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,1,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,2,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,3,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,4,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,5,,,,,,,,,,,,,
맛나감자탕 부산대점,부산광역시 금정구 장전동 413-20,6,,,,,,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,0,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,1,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,2,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,3,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,4,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,5,17:00,1:00,,,0:30,,,,,,,,
크라운닭발,부산광역시 금정구 장전동 413-28,6,17:00,1:00,,,0:30,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,0,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,1,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,2,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,3,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,4,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,5,17:00,0:00,,,23:00,,,,,,,,
부산대퇴근길,부산광역시 금정구 장전동 413-36,6,17:00,0:00,,,23:00,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,0,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,1,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,2,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,3,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,4,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,5,10:30,20:40,,,20:20,,,,,,,,
전통쑥밀면&족발&국밥,부산광역시 금정구 장전동 413-6,6,10:30,20:40,,,20:20,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,0,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,1,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,2,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,3,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,4,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,5,11:30,21:00,15:00,16:00,20:40,,,,,,,,
하나이미,부산광역시 금정구 장전동 414-11,6,11:30,21:00,15:00,16:00,20:40,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,0,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,1,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,2,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,3,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,4,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,5,11:00,22:00,,,,,,,,,,,
라화공방 부산대점,부산광역시 금정구 장전동 414-12,6,11:00,22:00,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,0,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,1,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,2,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,3,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,4,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,5,,,,,,,,,,,,,
아리산반점,부산광역시 금정구 장전동 414-16,6,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,0,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,1,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,2,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,3,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,4,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,5,,,,,,,,,,,,,
가득피자 금정점,부산광역시 금정구 장전동 414-23,6,,,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,0,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,1,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,2,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,3,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,4,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,5,11:00,0:00,,,,,,,,,,,
마당쇠돼지갈비,부산광역시 금정구 장전동 414-23,6,11:00,0:00,,,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,0,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,1,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,2,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,3,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,4,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,5,24:00,20:00,14:00,18:00,,,,,,,,,
심,부산광역시 금정구 장전동 414-23,6,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,0,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,1,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,2,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,3,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,4,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,5,24:00,20:00,14:00,18:00,,,,,,,,,
타카이별관,부산광역시 금정구 장전동 414-23,6,24:00,20:00,14:00,18:00,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,0,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,1,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,2,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,3,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,4,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,5,,,,,,,,,,,,,
크리스피크림 부산대점,부산광역시 금정구 장전동 414-25,6,,,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,0,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,1,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,2,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,3,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,4,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,5,17:00,0:00,,,,,,,,,,,
껍사랑목사랑,부산광역시 금정구 장전동 414-4,6,17:00,0:00,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,0,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,1,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,2,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,3,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,4,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,5,,,,,,,,,,,,,
봉추찜닭,부산광역시 금정구 장전동 414-7,6,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,0,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,1,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,2,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,3,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,4,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,5,,,,,,,,,,,,,
롯데리아 부산대점,부산광역시 금정구 장전동 415-13,6,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,0,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,1,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,2,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,3,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,4,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,5,,,,,,,,,,,,,
연경댁,부산광역시 금정구 장전동 415-18,6,,,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,0,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,1,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,2,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,3,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,4,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,5,9:00,23:00,,,,,,,,,,,
백초밥,부산광역시 금정구 장전동 415-23,6,9:00,23:00,,,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,0,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,1,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,2,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,3,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,4,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,5,11:00,2:00,14:30,17:00,,,,,,,,,
겐쇼심야라멘,부산광역시 금정구 장전동 415-3,6,11:00,2:00,14:30,17:00,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,0,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,1,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,2,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,3,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,4,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,5,,,,,,,,,,,,,
샌드우드,부산광역시 금정구 장전동 415-6,6,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,0,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,1,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,2,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,3,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,4,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,5,,,,,,,,,,,,,
짬뽕상회 부산대점,부산광역시 금정구 장전동 416-10,6,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,0,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,1,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,2,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,3,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,4,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,5,,,,,,,,,,,,,
하이다우트,부산광역시 금정구 장전동 416-10,6,,,,,,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,0,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,1,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,2,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,3,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,4,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,5,17:00,0:00,,,23:00,,,,,,,,
로꼬꼬,부산광역시 금정구 장전동 416-10 ,6,17:00,0:00,,,23:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,0,11:00,21:30,,,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,1,11:00,21:30,15:00,16:30,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,2,11:00,21:30,15:00,16:30,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,3,11:00,21:30,15:00,16:30,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,4,11:00,21:30,15:00,16:30,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,5,11:00,21:30,15:00,16:30,21:00,,,,,,,,
정성육회 부산대점,부산광역시 금정구 장전동 416-15,6,11:00,21:30,,,21:00,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,0,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,1,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,2,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,3,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,4,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,5,10:00,22:00,,,21:30,,,,,,,,
좋은집,부산광역시 금정구 장전동 416-19,6,10:00,22:00,,,21:30,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,0,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,1,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,2,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,3,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,4,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,5,,,,,,,,,,,,,
남다른썬치킨 부산대점,부산광역시 금정구 장전동 416-28,6,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,0,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,1,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,2,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,3,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,4,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,5,,,,,,,,,,,,,
비비큐 부산대학교점,부산광역시 금정구 장전동 416-3,6,,,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,0,19:00,1:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,1,19:00,2:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,2,19:00,2:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,3,19:00,2:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,4,19:00,2:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,5,19:00,2:00,,,,,,,,,,,
백석,부산광역시 금정구 장전동 416-30,6,19:00,2:00,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,0,,,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,1,,,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,2,,,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,3,,,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,4,,,,,,,,,,,,,
본도시락 부산대점,부산광역시 금정구 장전동 416-35,5,,,,,,,,,,,,,
