이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
유정삼계탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 159-1,부산광역시 금정구 두실로 23,129.08874,35.26056069
서울깍두기,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 159-29,부산광역시 금정구 두실로 21,129.0888935,35.26054903
금정어가,한식 해산물 요리 전문점,구서2동,부산광역시 금정구 구서동 159-45,부산광역시 금정구 두실로 17,129.0893531,35.26047801
치킨신드롬 두실점,치킨 전문점,구서2동,부산광역시 금정구 구서동 161-1,부산광역시 금정구 두실로 15,129.0895831,35.260447
번개반점,중식 음식점업,구서2동,부산광역시 금정구 구서동 161-10,부산광역시 금정구 두실로15번길 27,129.0896315,35.25933776
옹배기해물칼국수,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 161-12,부산광역시 금정구 중앙대로1959번길 24,129.0899504,35.25935027
통생오리,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 161-20,부산광역시 금정구 중앙대로1959번길 20,129.0901476,35.25932884
칼퇴근김대리 두실점,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 161-26,부산광역시 금정구 두실로 11,129.089999,35.26038575
신박돼지,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 161-39,부산광역시 금정구 두실로 13,129.0897471,35.26041713
느티나무집,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 161-9,부산광역시 금정구 두실로15번길 23,129.0896462,35.25948169
영동오리숯불구이,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 162-10,부산광역시 금정구 두실로7번길 19,129.0905813,35.25952861
밀양돼지국밥&감자탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 162-12,부산광역시 금정구 중앙대로1959번길 8,129.0908743,35.25938837
불막열삼 두실7번역점,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 163-10,부산광역시 금정구 두실로7번길 49,129.0904788,35.25810658
비에이치씨 두실점,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 163-10,부산광역시 금정구 두실로7번길 49,129.0904788,35.25810658
구이일번가,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 163-16,부산광역시 금정구 중앙대로1945번길 2,129.0910604,35.2580785
동키치킨,치킨 전문점,구서2동,부산광역시 금정구 구서동 163-18,부산광역시 금정구 중앙대로1945번길 10,129.0907854,35.25806523
두실칼국수,한식 면 요리 전문점,구서2동,부산광역시 금정구 구서동 163-18,부산광역시 금정구 중앙대로1945번길 10,129.0907854,35.25806523
본죽앤비빔밥 부산구서점,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 163-20,부산광역시 금정구 중앙대로1945번길 12,129.0906211,35.25808609
올밀푸드,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 163-31,부산광역시 금정구 두실로7번길 45,129.090486,35.25838581
철마환성암소원,한식 육류 요리 전문점,구서2동,부산광역시 금정구 구서동 163-4,부산광역시 금정구 두실로7번길 35,129.090466,35.25889079
제일식당,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 163-9,부산광역시 금정구 두실로7번길 41,129.0904897,35.25852992
해물이조아해물촌,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 164-1,부산광역시 금정구 두실로15번길 29,129.0896266,35.2591486
아구듬뿍&알곤마니,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 164-21,부산광역시 금정구 두실로7번길 46,129.090254,35.25833575
웅이네식당,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 164-22,부산광역시 금정구 중앙대로1945번길 30,129.0896208,35.25806733
금샘횟집,한식 해산물 요리 전문점,구서2동,부산광역시 금정구 구서동 164-28,부산광역시 금정구 중앙대로1945번길 16,129.0901811,35.25806666
비긴어게인,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 164-29,부산광역시 금정구 중앙대로1945번길 20,129.0901185,35.2581939
다미중국관,중식 음식점업,구서2동,부산광역시 금정구 구서동 166-12,부산광역시 금정구 두실로15번길 90,129.0894084,35.25663818
후라이드참잘하는집,치킨 전문점,구서2동,부산광역시 금정구 구서동 166-17,부산광역시 금정구 중앙대로1929번길 40-2,129.0891738,35.25648904
가마치 두실점,치킨 전문점,구서2동,부산광역시 금정구 구서동 167-33,부산광역시 금정구 중앙대로1945번길 19,129.0902202,35.25787675
수중어초횟집,한식 해산물 요리 전문점,구서2동,부산광역시 금정구 구서동 174-2,부산광역시 금정구 중앙대로1944번길 7,129.0919831,35.25764802
밀양돼지국밥,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 175-13,부산광역시 금정구 중앙대로1929번길 6,129.0908815,35.25667581
금정수산,한식 해산물 요리 전문점,구서2동,부산광역시 금정구 구서동 175-13,부산광역시 금정구 중앙대로1929번길 6,129.0908815,35.25667581
통뼈감자탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 175-23,부산광역시 금정구 중앙대로1945번길 5,129.0907915,35.25787588
형과아우누룽지삼계탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 177-1,부산광역시 금정구 중앙대로 1942,129.0916859,35.25762612
장금이한식뷔페,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 177-25,부산광역시 금정구 중앙대로 1940,129.0916717,35.25750021
제일아구찜,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 177-29,부산광역시 금정구 안뜰로7번길 43,129.0922679,35.25675997
부산함바식당,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 177-7,부산광역시 금정구 안뜰로7번길 45,129.0922611,35.25692229
진주추어탕,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 178-22,부산광역시 금정구 안뜰로7번길 40,129.0925182,35.25666553
농심가식육식당,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 178-9,부산광역시 금정구 중앙대로1926번길 19,129.092583,35.25619581
안채,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 182-29,부산광역시 금정구 안뜰로7번길 12-3,129.092686,35.25550015
고려돼지국밥,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 183-2,부산광역시 금정구 중앙대로 1920,129.0917813,35.25535359
참소국밥비단비,한식 일반 음식점업,구서2동,부산광역시 금정구 구서동 184-15,부산광역시 금정구 중앙대로 1927,129.0910944,35.2564108
굽네치킨구서점,치킨 전문점,구서2동,부산광역시 금정구 구서동 184-23,부산광역시 금정구 두실로7번길 119,129.0904889,35.25507856
달리는피자아저씨,피자; 햄버거; 샌드위치 및 유사 음식점업,구서2동,부산광역시 금정구 구서동 184-29,부산광역시 금정구 구서중앙로 2,129.0908693,35.25491879
문스,피자; 햄버거; 샌드위치 및 유사 음식점업,구서2동,부산광역시 금정구 구서동 185-1,부산광역시 금정구 구서중앙로 20,129.0883595,35.25600747
