이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,3,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,4,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,5,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,6,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,0,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,1,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,2,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,3,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,4,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,5,,,,,,,
153커피하우스,부산광역시 남구 용당동 473-18,부산광역시 남구 유엔평화로 161,6,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,0,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,1,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,2,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,3,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,4,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,5,,,,,,,
168배틀트립,부산광역시 동구 수정동 361-1,부산광역시 동구 초량상로 161,6,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,0,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,1,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,2,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,3,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,4,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,5,,,,,,,
16온스 법조타운점,부산광역시 연제구 거제동 1167-15,부산광역시 연제구 법원로 2,6,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,0,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,1,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,2,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,3,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,4,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,5,,,,,,,
18-1갤러리카페,부산광역시 중구 중앙동4가 36-22,부산광역시 중구 대청로141번길 18-1,6,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,0,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,1,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,2,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,3,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,4,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,5,,,,,,,
1번지커피숍,부산광역시 기장군 일광읍 동백리 305-3,부산광역시 기장군 일광읍 일광로 465-1,6,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,0,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,1,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,2,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,3,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,4,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,5,,,,,,,
1월2일,부산광역시 연제구 거제동 815-62,부산광역시 연제구 해맞이로 105-1,6,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,0,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,1,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,2,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,3,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,4,,,,,,,
1인사무소,부산광역시 수영구 남천동 31-2,부산광역시 수영구 광남로 55,5,,,,,,,
