이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
커피하우스2,카페,커피 전문점,부산광역시 사상구 주례동 595-3,,부산광역시 사상구 냉정로 10,,,129.0014152,35.14735468,,,,,,
놀숲 부산사직점,카페,기타 비알코올 음료점업,부산광역시 동래구 사직동 92-36,백진빌딩,부산광역시 동래구 사직북로 3,,,129.0606767,35.1961861,,,,,,
우리글방북카페,카페,커피 전문점,부산광역시 중구 보수동1가 133-2,,부산광역시 중구 대청로 63,,,129.0268946,35.1032241,,,,,,
커피베이 연산새항운병원점,카페,커피 전문점,부산광역시 연제구 연산동 704-1,새항운병원,부산광역시 연제구 중앙대로 1064,,,129.0795609,35.18290455,,,,,,
스몰굿커피 마린시티점,카페,커피 전문점,부산광역시 해운대구 우동 1434-2,해운대현대하이페리온아파트,부산광역시 해운대구 마린시티1로 155,,,129.1482333,35.15723043,,,,,,
선우,카페,커피 전문점,부산광역시 수영구 광안동 473-2,광안동에스케이뷰,부산광역시 수영구 광안로 12,,,129.1135819,35.15640732,,,,,,
비긴에스프레소,카페,커피 전문점,부산광역시 남구 대연동 503-7,,부산광역시 남구 용소로40번길 5,,,129.1006007,35.13377085,,,,,,
13月:리쳄버,카페,커피 전문점,부산광역시 금정구 구서동 472-2,신일,부산광역시 금정구 수림로66번길 91,,,129.0865104,35.24387393,,,,,,
동카페,카페,커피 전문점,부산광역시 금정구 금성동 539,,부산광역시 금정구 북문로 19,3,,129.0559716,35.25164204,,,,,,
눈카페,카페,커피 전문점,부산광역시 중구 중앙동1가 21-12,수이호스텔1,부산광역시 중구 중앙대로41번길 3-1,2,,129.0360087,35.10107973,,,,,,
카페051 가야센트레빌점,카페,커피 전문점,부산광역시 부산진구 가야동 163-7,,부산광역시 부산진구 가야공원로 2,1,,129.0294607,35.15316916,,,,,,
해돋이꽃차,카페,기타 비알코올 음료점업,부산광역시 영도구 청학동 468-502,,부산광역시 영도구 해돋이3길 410-1,,,129.0559384,35.08907311,,,,,,
파도소리,카페,커피 전문점,부산광역시 강서구 대항동 9-5,파도소리빌라,부산광역시 강서구 가덕해안로1169번길 62-49,,,128.834816,35.01611771,,,,,,
궁전레스토랑,카페,커피 전문점,부산광역시 동래구 명륜동 339-7,,부산광역시 동래구 충렬대로237번길 112,,,129.0834582,35.20614136,,,,,,
하이오커피 부산만덕점,카페,커피 전문점,부산광역시 북구 만덕동 955,백양산동문굿모닝힐1단지,부산광역시 북구 덕천로276번길 60,,,129.0333298,35.20586744,,,,,,
하삼동커피 덕포시장점,카페,커피 전문점,부산광역시 사상구 덕포동 422-27,,부산광역시 사상구 사상로 291,1,,128.9826532,35.17085051,,,,,,
산이네요거트,카페,커피 전문점,부산광역시 수영구 망미동 880-15,,부산광역시 수영구 망미배산로76번가길 24,1,,129.0994801,35.17554079,,,,,,
설빙부산수영역점,카페,커피 전문점,부산광역시 수영구 광안동 50-1,수영역디온플레이스어반,부산광역시 수영구 수영로 712,,,129.117443,35.16778448,,,,,,
요일커피,카페,커피 전문점,부산광역시 부산진구 전포동 309-34,,부산광역시 부산진구 서전로58번길 38,2,,129.0660198,35.15616469,,,,,,
오구,카페,커피 전문점,부산광역시 영도구 남항동3가 141-37,,부산광역시 영도구 남항서로 52,,,129.0348339,35.08558122,,,,,,
부산북구시니어클럽 숲속의요정북카페,카페,커피 전문점,부산광역시 북구 덕천동 346-2,행정복지센터,부산광역시 북구 금곡대로20번길 56,1,,129.0078305,35.21236698,,,,,,
커피언니,카페,커피 전문점,부산광역시 금정구 서동 41-4,,부산광역시 금정구 금사로67번길 11,,,129.1100929,35.21923316,,,,,,
이공커피 화명점,카페,커피 전문점,부산광역시 북구 화명동 2286-3,네오플러스,부산광역시 북구 금곡대로285번길 29,,,129.0116337,35.23387766,,,,,,
팜트리,카페,커피 전문점,부산광역시 기장군 기장읍 대변리 1-1,,부산광역시 기장군 기장읍 기장해안로 832,,,129.2429317,35.23005425,,,,,,
1번지커피숍,카페,커피 전문점,부산광역시 기장군 일광읍 동백리 305-3,,부산광역시 기장군 일광읍 일광로 465-1,1,,129.2564374,35.28423918,,,,,,
구름다리6-7,카페,커피 전문점,부산광역시 수영구 망미동 420-26,,부산광역시 수영구 과정로 6-7,,,129.109507,35.17239271,,,,,,
쥬씨해동 병원점,카페,기타 비알코올 음료점업,부산광역시 영도구 영선동1가 10-2,,부산광역시 영도구 절영로13번길 70,,,129.0436154,35.09172369,,,,,,
문리버,카페,커피 전문점,부산광역시 수영구 민락동 336-36,수영만아이파크,부산광역시 수영구 광안해변로 448,,,129.1299327,35.16193326,,,,,,
요거프레소 법원점,카페,커피 전문점,부산광역시 연제구 거제동 1493-1,,부산광역시 연제구 법원남로15번길 3,1,,129.0743015,35.19060954,,,,,,
메타코,카페,커피 전문점,부산광역시 사상구 주례동 614-6,,부산광역시 사상구 주례로 139,1,,129.0013336,35.14581501,,,,,,
필렉스,카페,커피 전문점,부산광역시 사하구 감천동 712-1,,부산광역시 사하구 감천로 65,,,128.9995959,35.09000668,,,,,,
요물,카페,커피 전문점,부산광역시 남구 대연동 405,대연맨션,부산광역시 남구 수영로 289,1,,129.0977601,35.13678489,,,,,,
컴포즈 이마트점,카페,커피 전문점,부산광역시 연제구 연산동 844-1,,부산광역시 연제구 연수로 100,1,,129.0816122,35.17511035,,,,,,
파스쿠찌 부산범일점,카페,커피 전문점,부산광역시 동구 범일동 830-25,덕원빌딩,부산광역시 동구 조방로 45,1,,129.0602701,35.14050129,,,,,,
도날드,카페,커피 전문점,부산광역시 부산진구 부전동 573-1,서면지하상가,부산광역시 부산진구 중앙대로 737,,,129.0610969,35.1602317,,,,,,
고래2.0커피구서점,카페,커피 전문점,부산광역시 금정구 구서동 460-2,,부산광역시 금정구 수림로72번길 120-1,1,,129.0871275,35.24480948,,,,,,
