이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
민진로스팅,카페,커피 전문점,부산광역시 연제구 거제동 1-7,대승아이티빌딩,부산광역시 연제구 거제대로 296,1,,129.0789179,35.19213441,,,,,,
신바리스타신Barista,카페,커피 전문점,부산광역시 기장군 일광읍 삼성리 773,이편한세상일광,부산광역시 기장군 일광읍 해빛2로 21,,,129.2261848,35.26905753,,,,,,
어바웃타임,카페,기타 비알코올 음료점업,부산광역시 부산진구 전포동 313-82,,부산광역시 부산진구 전포대로210번길 24-9,2,,129.0668603,35.15512302,,,,,,
이디야 홈플러스서부산점,카페,커피 전문점,부산광역시 사상구 괘법동 529-1,,부산광역시 사상구 광장로 7,1,,128.9777212,35.16433455,,,,,,
카페캔버스,카페,커피 전문점,부산광역시 사하구 하단동 900-1,,부산광역시 사하구 동매로15번길 22,1,,128.9602039,35.10474471,,,,,,
커피스토어 시청점,카페,커피 전문점,부산광역시 연제구 연산동 1361-13,,부산광역시 연제구 중앙대로1043번길 24,1,,129.0765973,35.1816127,,,,,,
까페숲,카페,커피 전문점,부산광역시 금정구 청룡동 산 2-5,,부산광역시 금정구 범어사로 259,,,129.0729579,35.28235155,,,,,,
체리,카페,기타 비알코올 음료점업,부산광역시 부산진구 범천동 837-47,,부산광역시 부산진구 골드테마길 2-7,,,129.0602619,35.14191626,,,,,,
카페심플,카페,커피 전문점,부산광역시 서구 서대신동3가 254-10,,부산광역시 서구 망양로 36-1,1,,129.0140925,35.11371096,,,,,,
더리터 동서대경남정보대점,카페,커피 전문점,부산광역시 사상구 주례동 74-22,,부산광역시 사상구 냉정로 116,1,,129.0126006,35.14935017,,,,,,
카페더흄,카페,커피 전문점,부산광역시 해운대구 우동 1514,센텀리더스마크,부산광역시 해운대구 APEC로 17,,,129.1324182,35.16592666,,,,,,
알베로,카페,커피 전문점,부산광역시 동래구 안락동 470-65,,부산광역시 동래구 명안로18번길 129,2,,129.1113771,35.19759227,,,,,,
태평,카페,커피 전문점,부산광역시 서구 충무동1가 23-2,태평빌딩,부산광역시 서구 해안새벽시장길 18,,,129.0251693,35.09553888,,,,,,
헤이유,카페,커피 전문점,부산광역시 수영구 광안동 171-39,,부산광역시 수영구 수영로554번가길 26,1,,129.1146706,35.15353167,,,,,,
투썸플레이스 정관점,카페,커피 전문점,부산광역시 기장군 정관읍 매학리 714-14,,부산광역시 기장군 정관읍 정관8로 14,1,,129.1774682,35.32289441,,,,,,
동백제니스상가B107,카페,커피 전문점,부산광역시 해운대구 우동 1544,해운대동백두산위브더제니스,부산광역시 해운대구 해운대로 540,,,129.1507021,35.15972783,,,,,,
이나커피,카페,커피 전문점,부산광역시 사하구 다대동 1552-15,,부산광역시 사하구 다대로 690,3,,128.9660549,35.04835257,,,,,,
탱고탱고콜라텍매매점,카페,기타 비알코올 음료점업,부산광역시 중구 남포동6가 3,신천지상가,부산광역시 중구 자갈치로 33,,,129.0278162,35.09704464,,,,,,
카페당리,카페,커피 전문점,부산광역시 강서구 대저1동 319-11,일부호,부산광역시 강서구 대저중앙로 373,1,,128.9878311,35.22076257,,,,,,
초오록,카페,커피 전문점,부산광역시 기장군 일광읍 화전리 541-2,,부산광역시 기장군 일광읍 화용길 103-17,1,,129.2215253,35.28270499,,,,,,
MW커피로스터즈,카페,커피 전문점,부산광역시 기장군 정관읍 용수리 1329-4,신우빌딩,부산광역시 기장군 정관읍 정관로 501-13,,,129.171476,35.32577767,,,,,,
모라커피숍,카페,커피 전문점,부산광역시 사상구 모라동 1046,,부산광역시 사상구 사상로 491,,,128.9878215,35.18839272,,,,,,
하삼동커피 덕포점,카페,커피 전문점,부산광역시 사상구 덕포동 783,,부산광역시 사상구 덕상로 11,,,128.9888202,35.17261481,,,,,,
마잘로스터스,카페,커피 전문점,부산광역시 수영구 남천동 558-6,,부산광역시 수영구 광안해변로 21,1,,129.1125232,35.13752861,,,,,,
할리스커피 부산송도점,카페,커피 전문점,부산광역시 서구 암남동 542-8,,부산광역시 서구 송도해변로 61-1,,,129.0156604,35.07450164,,,,,,
하삼동커피 부경대점,카페,커피 전문점,부산광역시 남구 대연동 518,,부산광역시 남구 용소로 42-1,,,129.1008243,35.13350564,,,,,,
옹쎄,카페,커피 전문점,부산광역시 남구 용호동 367-4,,부산광역시 남구 용호로109번길 28,1,,129.1137954,35.12224085,,,,,,
보나단헤어엔카페,카페,커피 전문점,부산광역시 금정구 남산동 991-3,,부산광역시 금정구 금샘로 489,,,129.0843615,35.26634046,,,,,,
삼진커피 남포점,카페,커피 전문점,부산광역시 중구 창선동2가 45-11,,부산광역시 중구 광복로 30,1,,129.0282641,35.09919096,,,,,,
원플러스원 부평점,카페,커피 전문점,부산광역시 중구 부평동2가 58-2,,부산광역시 중구 흑교로 6,1,,129.0252888,35.09992561,,,,,,
멜라비치,카페,커피 전문점,부산광역시 부산진구 전포동 575,송상현광장내판매시설,부산광역시 부산진구 중앙대로 818,1,,129.0650007,35.16403118,,,,,,
까페M,카페,커피 전문점,부산광역시 부산진구 부전동 22-2,,부산광역시 부산진구 중앙대로 805,1,,129.0632697,35.16370923,,,,,,
다인,카페,커피 전문점,부산광역시 기장군 정관읍 예림리 846-3,,부산광역시 기장군 정관읍 정관로 830,,,129.2028149,35.32422828,,,,,,
자갈치커피상회,카페,커피 전문점,부산광역시 중구 남포동5가 68-3,,부산광역시 중구 자갈치로 55-2,1,,129.0303952,35.09757822,,,,,,
반송187,카페,커피 전문점,부산광역시 해운대구 반송동 187,,부산광역시 해운대구 신반송로182번길 2-15,1,,129.1608676,35.22909667,,,,,,
라라카페,카페,기타 비알코올 음료점업,부산광역시 금정구 서동 218-7,,부산광역시 금정구 반송로 353-1,1,,129.1048695,35.21044784,,,,,,
플라시드,카페,커피 전문점,부산광역시 남구 용호동 954,더블유,부산광역시 남구 분포로 145,,,129.1112202,35.13422606,,,,,,
밤새다방,카페,커피 전문점,부산광역시 연제구 연산동 587-1,웰메이드오피스텔,부산광역시 연제구 거제천로230번길 70,1,,129.0826283,35.1886913,,,,,,
블루샥 연산토곡점,카페,커피 전문점,부산광역시 연제구 연산동 478-14,KL빌딩,부산광역시 연제구 과정로 148,1,,129.1073653,35.18465861,,,,,,
이피씨,카페,커피 전문점,부산광역시 해운대구 좌동 1314-2,화목데파트,부산광역시 해운대구 세실로 64,1,,129.1776666,35.17097876,,,,,,
선유도원,카페,커피 전문점,부산광역시 금정구 선동 314-1,,부산광역시 금정구 상현로 64,,,129.1116475,35.26648891,,,,,,
카페숨,카페,커피 전문점,부산광역시 해운대구 중동 1818,해운대힐스테이트위브,부산광역시 해운대구 좌동순환로433번길 30,1,,129.1777693,35.16083911,,,,,,
까페미소,카페,커피 전문점,부산광역시 수영구 남천동 40-1,,부산광역시 수영구 수영로 493,,,129.1106007,35.15016927,,,,,,
카페0316,카페,커피 전문점,부산광역시 동구 초량동 1152-4,일부,부산광역시 동구 중앙대로 324,2,,129.0454767,35.12496354,,,,,,
컴포즈 부산박물관점,카페,커피 전문점,부산광역시 남구 대연동 879-14,모이세,부산광역시 남구 유엔로157번길 10,1,,129.0935116,35.13066743,,,,,,
모니카,카페,커피 전문점,부산광역시 중구 남포동6가 113-1,,부산광역시 중구 구덕로 87-1,2,,129.0264072,35.09682489,,,,,,
카페여백,카페,커피 전문점,부산광역시 기장군 정관읍 방곡리 425-4,,부산광역시 기장군 정관읍 방곡5로 2-26,1,,129.1857888,35.32320378,,,,,,
온든해,카페,기타 비알코올 음료점업,부산광역시 강서구 대저2동 6149,,부산광역시 강서구 공항로239번길 29,,,128.9416265,35.13059249,,,,,,
카페C-three,카페,커피 전문점,부산광역시 금정구 장전동 613-14,용진마이스터,부산광역시 금정구 식물원로39번길 15,,,129.0840379,35.2240913,,,,,,
신도커피,카페,커피 전문점,부산광역시 영도구 청학동 536,영도신도브래뉴,부산광역시 영도구 태종로 260,,,129.0563601,35.09800558,,,,,,
커피칼럼,카페,커피 전문점,부산광역시 사하구 괴정동 1040-7,,부산광역시 사하구 승학로 242,1,,128.9909152,35.10229752,,,,,,
커피에세이,카페,커피 전문점,부산광역시 동래구 명장동 132-4,,부산광역시 동래구 명안로85번길 5,,,129.1041338,35.20406249,,,,,,
할리스 수영로터리점,카페,커피 전문점,부산광역시 수영구 광안동 50-13,프라임메디칼,부산광역시 수영구 수영로 710-1,2,,129.1172213,35.16769825,,,,,,
디엔컴퍼니,카페,커피 전문점,부산광역시 부산진구 부전동 515-24,,부산광역시 부산진구 부전로 62-1,2,,129.0549561,35.15560496,,,,,,
마미스카페,카페,커피 전문점,부산광역시 동래구 온천동 281-1,,부산광역시 동래구 우장춘로 157-58,,,129.0749148,35.22118417,,,,,,
수림다방,카페,기타 비알코올 음료점업,부산광역시 사상구 감전동 120-68,,부산광역시 사상구 새벽로168번길 63,,,128.9868028,35.15556165,,,,,,
메가엠지씨커피 못골점,카페,커피 전문점,부산광역시 남구 대연동 1272-2,동원로얄듀크,부산광역시 남구 못골로41번길 13,,,129.0863373,35.13581066,,,,,,
제로베이크샵,카페,커피 전문점,부산광역시 부산진구 양정동 276-4,,부산광역시 부산진구 동평로405번길 77,1,,129.0715483,35.17685998,,,,,,
부산진지역자활센터 청년드림커피,카페,커피 전문점,부산광역시 부산진구 부암동 52-6,에스케이텔레콤부산지사,부산광역시 부산진구 신천대로 258,1,,129.0507696,35.16498494,,,,,,
카페마일로,카페,커피 전문점,부산광역시 해운대구 중동 1839,롯데캐슬스타,부산광역시 해운대구 중동2로34번길 15,1,,129.1631569,35.16554364,,,,,,
온어스,카페,커피 전문점,부산광역시 연제구 거제동 676-219,,부산광역시 연제구 해맞이로 67,1,,129.0682659,35.18029544,,,,,,
포그,카페,커피 전문점,부산광역시 부산진구 전포동 204-6,,부산광역시 부산진구 동성로87번길 9,2,,129.0677337,35.15798282,,,,,,
어랏투고 명지오션점,카페,커피 전문점,부산광역시 강서구 명지동 3231,영어도시퀸덤1차,부산광역시 강서구 명지오션시티10로 16,,,128.8967889,35.08639604,,,,,,
연원책방카페,카페,기타 비알코올 음료점업,부산광역시 남구 대연동 503-2,,부산광역시 남구 용소로40번길 4,3,,129.1005937,35.13392417,,,,,,
키쿠피커,카페,커피 전문점,부산광역시 수영구 광안동 774-21,,부산광역시 수영구 수영로 559,1,,129.1124459,35.15576029,,,,,,
유엔커피,카페,커피 전문점,부산광역시 남구 대연동 852-7,,부산광역시 남구 유엔평화로47번길 107,,,129.0980453,35.13079626,,,,,,
속,카페,커피 전문점,부산광역시 부산진구 전포동 683-18,,부산광역시 부산진구 전포대로199번길 40-7,,,129.062902,35.15480301,,,,,,
용용무인카페,카페,커피 전문점,부산광역시 부산진구 초읍동 331-26,,부산광역시 부산진구 성지곡로51번길 1,1,,129.0484115,35.18690506,,,,,,
하삼동커피 동아대병원점,카페,커피 전문점,부산광역시 서구 동대신동3가 553,브라운스톤하이포레,부산광역시 서구 동대로19번길 32,3,,129.0192216,35.1184559,,,,,,
텐퍼센트커피 교대법원점,카페,커피 전문점,부산광역시 연제구 거제동 393-8,,부산광역시 연제구 법원북로83번길 9,,,129.0752812,35.19287267,,,,,,
카페마타마타,카페,커피 전문점,부산광역시 사하구 구평동 518,이편한세상사하2차,부산광역시 사하구 서포로30번길 12,,,128.9844988,35.08278396,,,,,,
카페051 화명코오롱하늘채점,카페,커피 전문점,부산광역시 북구 화명동 2301-8,,부산광역시 북구 화명신도시로 73,1,,129.0098831,35.23059048,,,,,,
발레스,카페,커피 전문점,부산광역시 연제구 연산동 685-7,,부산광역시 연제구 월드컵대로 36-1,,,129.0856026,35.17793439,,,,,,
키튼커피,카페,커피 전문점,부산광역시 부산진구 전포동 653-13,,부산광역시 부산진구 서전로47번길 27,1,,129.0645692,35.1591182,,,,,,
르씨엘드,카페,커피 전문점,부산광역시 기장군 일광읍 칠암리 144-11,,부산광역시 기장군 일광읍 박영준길 15,,,129.2566825,35.29860724,,,,,,
시나브로워크룸,카페,커피 전문점,부산광역시 부산진구 연지동 189-6,,부산광역시 부산진구 동평로235번길 37-3,,,129.0517459,35.17151985,,,,,,
카페사려니숲,카페,커피 전문점,부산광역시 해운대구 좌동 1451-1,락희상가,부산광역시 해운대구 청사포로 16,,,129.1837406,35.16624653,,,,,,
카페론디,카페,커피 전문점,부산광역시 금정구 남산동 17-11,,부산광역시 금정구 금강로 730,1,,129.0892266,35.27266364,,,,,,
카페아담,카페,커피 전문점,부산광역시 금정구 장전동 103-29,신이빌딩,부산광역시 금정구 수림로72번길 26,1,,129.0848269,35.2411905,,,9:00,"일,월 16:00, 나머지 22:00",,
글래드커피,카페,커피 전문점,부산광역시 금정구 장전동 106-2,,부산광역시 금정구 금강로379번길 13,1,,129.0856782,35.24183366,,,9:00,18:00,,
엄마손팥집,카페,기타 비알코올 음료점업,부산광역시 남구 대연동 882-12,,부산광역시 남구 유엔평화로 43,,,129.0922917,35.13100391,,,,,,
오도우,카페,기타 비알코올 음료점업,부산광역시 남구 대연동 314-64,,부산광역시 남구 수영로293번길 30-6,,,129.0979265,35.1377102,,,,,,
투썸플레이스 벡스코점,카페,커피 전문점,부산광역시 해운대구 우동 1507,트럼프월드센텀2차,부산광역시 해운대구 센텀3로 32,,,129.1337504,35.16651597,,,,,,
씨드,카페,커피 전문점,부산광역시 금정구 구서동 203-5,금정산온천레포츠,부산광역시 금정구 구서중앙로15번길 20,1,,129.0890516,35.25386882,,,,,,
웨스턴챔버,카페,커피 전문점,부산광역시 기장군 정관읍 병산리 550-1,,부산광역시 기장군 정관읍 병산로 221-19,,,129.1851499,35.34643706,,,,,,
올라카페,카페,커피 전문점,부산광역시 해운대구 송정동 437-9,,부산광역시 해운대구 송정광어골로 49,,,129.1968,35.17686896,,,,,,
여리지,카페,기타 비알코올 음료점업,부산광역시 금정구 청룡동 462-3,,부산광역시 금정구 범어사로 334-1,,,129.0768498,35.27896856,,,,,,
초록나비,카페,커피 전문점,부산광역시 수영구 수영동 497-14,,부산광역시 수영구 좌수영로83번길 12-1,1,,129.1206839,35.1721434,,,,,,
메가커피 주례삼선병원점,카페,커피 전문점,부산광역시 사상구 주례동 137-3,,부산광역시 사상구 가야대로318번길 14,,,129.0072958,35.15002397,,,,,,
내고향전통찻집,카페,기타 비알코올 음료점업,부산광역시 부산진구 부전동 259-3,,부산광역시 부산진구 서면문화로 8-4,,,129.0581023,35.15853438,,,,,,
커피보이스,카페,커피 전문점,부산광역시 사하구 구평동 494,,부산광역시 사하구 감천항로 515,2,,128.9992849,35.04895381,,,,,,
토리나무,카페,커피 전문점,부산광역시 기장군 철마면 웅천리 산 104-12,,부산광역시 기장군 철마면 곰내길 378,,,129.1687297,35.29993778,,,,,,
죽성드림커피,카페,커피 전문점,부산광역시 기장군 기장읍 죽성리 134-5,,부산광역시 기장군 기장읍 죽성로 326,,,129.2480431,35.24016901,,,,,,
카페반디나무,카페,기타 비알코올 음료점업,부산광역시 북구 덕천동 403-14,,부산광역시 북구 덕천2길 31,1,,129.0070329,35.20940637,,,,,,
카페;오로라,카페,커피 전문점,부산광역시 사하구 하단동 1218,건우리안,부산광역시 사하구 동매로 117,3,,128.9710258,35.10194674,,,,,,
텐퍼센트커피 영도미라주점,카페,커피 전문점,부산광역시 영도구 동삼동 1170,영도일동미라주브라이튼1단지,부산광역시 영도구 동삼북로 20,,,129.0706612,35.08207273,,,,,,
컴포즈커피 수영연수로점,카페,커피 전문점,부산광역시 수영구 광안동 1069-3,광안동일스위트,부산광역시 수영구 망미번영로38번길 104,,,129.1135989,35.1676624,,,,,,
오륙도다방,카페,커피 전문점,부산광역시 남구 용호동 542-14,,부산광역시 남구 용호로 225-1,1,,129.111153,35.1120768,,,,,,
로타리,카페,커피 전문점,부산광역시 동래구 온천동 1423-2,,부산광역시 동래구 미남로 146,1,,129.0698205,35.2069611,,,,,,
디아데마,카페,커피 전문점,부산광역시 부산진구 부전동 537-9,더샵센트럴스타,부산광역시 부산진구 중앙대로666번길 50,2,,129.0603038,35.15184637,,,,,,
하삼동커피 망미점,카페,커피 전문점,부산광역시 수영구 망미동 433-42,,부산광역시 수영구 과정로 69,1,,129.1070282,35.17755441,,,,,,
현커피,카페,커피 전문점,부산광역시 해운대구 우동 1434,선프라자,부산광역시 해운대구 마린시티3로 1,,,129.147573,35.15799009,,,,,,
또그릭,카페,기타 비알코올 음료점업,부산광역시 부산진구 전포동 681-3,,부산광역시 부산진구 서전로46번길 32,1,,129.064718,35.15632206,,,,,,
슬로윈드,카페,커피 전문점,부산광역시 해운대구 송정동 195-3,,부산광역시 해운대구 송정강변로 23,1,,129.2053226,35.18358063,,,,,,
이디야 부산온천장역점,카페,커피 전문점,부산광역시 동래구 온천동 153-12,일부,부산광역시 동래구 온천장로119번길 7,,,129.0843285,35.22128372,,,,,,
투썸플레이스 부산거제점,카페,커피 전문점,부산광역시 연제구 거제동 891-5,,부산광역시 연제구 아시아드대로 101,2,,129.0663505,35.19351207,,,,,,
녹원커피숍,카페,커피 전문점,부산광역시 동래구 안락동 423-14,,부산광역시 동래구 반송로208번길 6,1,,129.0976506,35.19915562,,,,,,
하이안,카페,기타 비알코올 음료점업,부산광역시 부산진구 전포동 687-25,,부산광역시 부산진구 서전로46번길 62-4,,,129.0646109,35.15512534,,,,,,
컴포즈커피 남산점,카페,커피 전문점,부산광역시 금정구 남산동 482-1,명칭없음,부산광역시 금정구 금강로647번길 5,1,,129.0883077,35.26511893,,,,,,
동신,카페,커피 전문점,부산광역시 부산진구 양정동 107-47,,부산광역시 부산진구 연수로 24-1,2,,129.0740494,35.17378026,,,,,,
이안,카페,커피 전문점,부산광역시 연제구 연산동 415-36,,부산광역시 연제구 과정로191번길 38,1,,129.1062708,35.18605642,,,,,,
즐거운식당,카페,기타 비알코올 음료점업,부산광역시 부산진구 부전동 266-12,,부산광역시 부산진구 중앙대로755번길 7,2,,129.0602249,35.16003026,,,,,,
아투,카페,커피 전문점,부산광역시 사하구 신평동 629-1,,부산광역시 사하구 하신번영로157번길 33,,,128.9581122,35.09661376,,,,,,
덕천커피숍,카페,커피 전문점,부산광역시 북구 덕천동 386-15,,부산광역시 북구 만덕대로 76-1,1,,129.0132982,35.21189766,,,,,,
후,카페,커피 전문점,부산광역시 사상구 덕포동 765-5,,부산광역시 사상구 덕상로 67-1,1,,128.989311,35.17744605,,,,,,
크레이저커피 부경대점,카페,비주거용 건물 임대업,부산광역시 남구 대연동 393-1,,부산광역시 남구 용소로34번길 24-12,,,129.0997334,35.13459693,,,,,,
소희다방,카페,기타 비알코올 음료점업,부산광역시 영도구 대교동1가 162,,부산광역시 영도구 태종로 77,,,129.0395662,35.09246777,,,,,,
카페미유,카페,커피 전문점,부산광역시 동래구 온천동 1582-2,,부산광역시 동래구 쇠미로 152-1,,,129.0618757,35.20409586,,,,,,
자르디노203,카페,커피 전문점,부산광역시 수영구 광안동 202-3,,부산광역시 수영구 광남로94번길 8,1,,129.1150647,35.15010941,,,,,,
하삼동커피 괴정뉴코아점,카페,커피 전문점,부산광역시 사하구 괴정동 950-2,괴정어반푸르지오,부산광역시 사하구 사하로 189,,,128.9934974,35.0984611,,,,,,
부자커피숍,카페,커피 전문점,부산광역시 남구 용호동 531-31,,부산광역시 남구 용주로 23,,,129.1123216,35.11316486,,,,,,
설빙 당감점,카페,기타 비알코올 음료점업,부산광역시 부산진구 당감동 304-29,,부산광역시 부산진구 동평로 97,2,,129.0402003,35.16581231,,,,,,
어랏커피,카페,커피 전문점,부산광역시 동래구 안락동 628-1,,부산광역시 동래구 연안로59번길 105,1,,129.1025253,35.19490773,,,,,,
오늘달이참밝네요,카페,커피 전문점,부산광역시 금정구 부곡동 304-1,부곡상가맨션,부산광역시 금정구 부곡로 107,1,,129.0913701,35.22565895,,,,,,
메가엠지씨커피 서면점,카페,커피 전문점,부산광역시 부산진구 부전동 215-1,,부산광역시 부산진구 중앙대로692번길 26,,,129.0606519,35.15433667,,,,,,
트리플에이커피 영도점,카페,커피 전문점,부산광역시 영도구 청학동 217-1,,부산광역시 영도구 해양로 74,1,,129.0628202,35.09633677,,,,,,
에이스커피,카페,커피 및 차류 도매업,부산광역시 금정구 청룡동 43-1,,부산광역시 금정구 남산냇길 132,1,,129.0893101,35.27719494,,,,,,
우리동네순이카페,카페,커피 전문점,부산광역시 서구 남부민동 441-74,,부산광역시 서구 해돋이로 18,1,,129.0197451,35.08322917,,,,,,
퓌어밀쉬,카페,커피 전문점,부산광역시 금정구 구서동 472-24,,부산광역시 금정구 금강로403번길 11,1,,129.0868771,35.24403882,,,,,,
모노모노몬,카페,커피 전문점,부산광역시 부산진구 전포동 504-93,,부산광역시 부산진구 황령대로98번길 53,1,,129.0681354,35.14871202,,,,,,
감성커피부경대점,카페,커피 전문점,부산광역시 남구 대연동 430-1,,부산광역시 남구 용소로 45,,,129.1048669,35.13117356,,,,,,
블루샥 서면,카페,커피 전문점,부산광역시 부산진구 부전동 153-5,,부산광역시 부산진구 서전로10번길 7,1,,129.0608039,35.15731693,,,,,,
컴포즈커피,카페,커피 전문점,부산광역시 금정구 구서동 414-3,,부산광역시 금정구 구서로 11,1,,129.0896337,35.24658653,,,,,,
롬카페 롯데광복백화점,카페,커피 전문점,부산광역시 중구 중앙동7가 1-1,롯데백화점,부산광역시 중구 중앙대로 2,5,,129.0367073,35.0983104,,,,,,
김민정갤러리,카페,커피 전문점,부산광역시 금정구 오륜동 583-12,,부산광역시 금정구 오륜대로 243,,,129.1143059,35.24786099,,,,,,
명성,카페,기타 비알코올 음료점업,부산광역시 중구 부평동4가 55-19,,부산광역시 중구 보수대로 76,,,129.0214385,35.10253121,,,,,,
숲,카페,커피 전문점,부산광역시 동구 범일동 1655,범일엘에이치오션브릿지,부산광역시 동구 범일로 41,,,129.0590831,35.13344733,,,,,,
마일로,카페,커피 전문점,부산광역시 수영구 남천동 556-7,남천우성스마트시티뷰,부산광역시 수영구 황령대로509번길 9,1,,129.1093596,35.13779101,,,,,,
칼리스,카페,커피 전문점,부산광역시 영도구 대교동1가 30-1,,부산광역시 영도구 태종로 56-1,,,129.0370475,35.09303281,,,,,,
더블유엘씨,카페,커피 전문점,부산광역시 해운대구 우동 650-1,그린나래호텔,부산광역시 해운대구 해운대해변로 233,16,,129.1569252,35.15895031,,,,,,
샵인,카페,커피 전문점,부산광역시 금정구 장전동 360-9,ZON,부산광역시 금정구 금강로 231,1,,129.0840818,35.22881256,,,"평일 8:00/주말, 공휴일 8:30","평일 21:00/주말, 공휴일 18:00",,
이디야 부산장림세정아울렛점,카페,커피 전문점,부산광역시 사하구 장림동 1055,,부산광역시 사하구 다대로 207,1,,128.9778341,35.08373099,,,,,,
커피엣윤스,카페,커피 전문점,부산광역시 북구 구포동 1123-6,,부산광역시 북구 사상로 594,1,,128.9909657,35.19712747,,,,,,
아모르,카페,기타 비알코올 음료점업,부산광역시 해운대구 재송동 1096-4,,부산광역시 해운대구 해운대로161번길 5,,,129.1224356,35.18337704,,,,,,
와키와키커피,카페,커피 전문점,부산광역시 중구 중앙동4가 38-1,,부산광역시 중구 대청로135번길 13,2,,129.0346221,35.10396875,,,,,,
하이오커피 연산연천점,카페,커피 전문점,부산광역시 연제구 연산동 408-24,명품블루파크,부산광역시 연제구 과정로251번길 45,1,,129.1016401,35.18696596,,,,,,
카페더힐러,카페,커피 전문점,부산광역시 북구 만덕동 774-7,벽산라인타운,부산광역시 북구 덕천로 182,,,129.0247044,35.21091436,,,,,,
고더샵,카페,커피 전문점,부산광역시 부산진구 전포동 206-27,,부산광역시 부산진구 서전로 60,,,129.0662214,35.15763014,,,,,,
둥지커피숍,카페,커피 전문점,부산광역시 동구 초량동 1151-8,,부산광역시 동구 중앙대로332번길 7,1,,129.046382,35.12563314,,,,,,
나우커피 전포점,카페,커피 전문점,부산광역시 부산진구 전포동 301-6,,부산광역시 부산진구 동성로 73,1,,129.0681475,35.15699348,,,,,,
홀스앤타이거,카페,커피 전문점,부산광역시 동래구 안락동 630-61,,부산광역시 동래구 온천천로437번길 28,,,129.1014858,35.19290721,,,,,,
소담,카페,기타 비알코올 음료점업,부산광역시 중구 광복동1가 19-1,,부산광역시 중구 광복로85번길 4,3,,129.0343835,35.09878199,,,,,,
금낭화,카페,기타 비알코올 음료점업,부산광역시 금정구 장전동 501-112,,부산광역시 금정구 금샘로 44,,,129.0767757,35.22956899,,,,,,
다방 법원점,카페,커피 전문점,부산광역시 연제구 거제동 1177-1,동측,부산광역시 연제구 월드컵대로 233,1,,129.071428,35.18941515,,,,,,
로얄,카페,기타 비알코올 음료점업,부산광역시 서구 충무동1가 2-4,,부산광역시 서구 자갈치로 11,,,129.0256508,35.09638695,,,,,,
티제이,카페,커피 전문점,부산광역시 동래구 온천동 784-29,,부산광역시 동래구 금강로8번가길 23,,,129.0729394,35.2117379,,,,,,
나비,카페,기타 비알코올 음료점업,부산광역시 영도구 대교동1가 150-4,,부산광역시 영도구 태종로 70-1,,,129.0386637,35.09232976,,,,,,
텐퍼센트 기장시장점,카페,커피 전문점,부산광역시 기장군 기장읍 동부리 275-4,파크빌딩,부산광역시 기장군 기장읍 읍내로 108-1,,,129.2161983,35.24490175,,,,,,
나현,카페,기타 비알코올 음료점업,부산광역시 부산진구 연지동 192-9,연지동삼정그린코아,부산광역시 부산진구 동평로235번길 19,,,129.0523447,35.17045534,,,,,,
텐퍼센트커피 신평점,카페,커피 전문점,부산광역시 사하구 신평동 589-12,,부산광역시 사하구 하신번영로179번길 32,1,,128.9583608,35.09875457,,,,,,
하이오커피 기장시장점,카페,커피 전문점,부산광역시 기장군 기장읍 동부리 274-24,이랜드,부산광역시 기장군 기장읍 읍내로 103,1,,129.2156687,35.24521783,,,,,,
커피센터,카페,커피 전문점,부산광역시 중구 중앙동3가 13-10,,부산광역시 중구 대청로137번길 8,,,129.0350909,35.10342018,,,,,,
원유로스페셜티 부산해리단길점,카페,커피 전문점,부산광역시 해운대구 우동 460-67,,부산광역시 해운대구 우동1로 47,1,,129.1573533,35.16560212,,,,,,
카페라보엠,카페,커피 전문점,부산광역시 금정구 부곡동 235-20,서경빌,부산광역시 금정구 중앙대로1685번길 31,2,,129.0899258,35.23485758,,,,,,
팥꽃카페,카페,커피 전문점,부산광역시 해운대구 반송동 250-313,명칭없음,부산광역시 해운대구 아랫반송로39번길 38-5,1,,129.1508525,35.22455317,,,,,,
제일,카페,기타 비알코올 음료점업,부산광역시 연제구 거제동 1188-5,,부산광역시 연제구 월드컵대로 219,,,129.0727392,35.18874388,,,,,,
현대경양식,카페,기타 비알코올 음료점업,부산광역시 부산진구 부전동 267-18,,부산광역시 부산진구 중앙대로 755,,,129.0605976,35.16001491,,,,,,
삘딩오왼몰겐,카페,커피 전문점,부산광역시 영도구 영선동4가 1075,,부산광역시 영도구 절영로 226,1,,129.0459891,35.07789568,,,,,,
카페다오나,카페,커피 전문점,부산광역시 금정구 금사동 104-7,,부산광역시 금정구 공단로 13,1,,129.1104561,35.2162981,,,,,,
부산연탄은행청소년창작스페이스사부작,카페,커피 전문점,부산광역시 서구 아미동2가 128-4,,부산광역시 서구 까치고개로 179,,,129.0156314,35.10005056,,,,,,
카페길 광안점,카페,커피 전문점,부산광역시 수영구 민락동 149-19,,부산광역시 수영구 감포로 34-1,1,,129.1200807,35.16159249,,,,,,
스타벅스 동아대학병원점,카페,커피 전문점,부산광역시 서구 동대신동3가 13-81,,부산광역시 서구 동대로 8,,,129.0171617,35.11942744,,,,,,
이디야커피 부산개금동점,카페,커피 전문점,부산광역시 부산진구 개금동 200-31,,부산광역시 부산진구 가야대로 479,1,,129.0246073,35.15346667,,,,,,
